cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [ml/s],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.167578,0.642,43.995,19.835,4.412,0.0,0.0,0.0,0.867401,0.816551,0.874277
0.012194900082960954,0.006702999999999987,0.174281,1.438,43.39,21.658,4.412,-0.0031156078557676,0.00170224965017025,0.0019711687519793,0.867015,0.815593,0.875144
0.02438980016592196,0.013406000000000001,0.180984,2.063,43.188,25.1,4.412,-0.00417651446335449,0.00288451509712277,0.00378578461503879,0.865877,0.81549,0.877638
0.036586519568602885,0.02010999999999999,0.187688,0.978,43.39,30.568,4.412,-0.00555292704693795,0.00277088935327945,0.00608508203453214,0.865961,0.818556,0.875533
0.04878141965156389,0.026813000000000003,0.194391,0.513,46.417,41.908,3.921,-0.00755813860818411,0.00369431372740608,0.00748436639412308,0.870251,0.817644,0.873468
0.060976319734524845,0.03351599999999999,0.201094,0.674,57.113,56.488,2.451,-0.0091129113901477,0.00243749753910373,0.00968428729432721,0.869773,0.815504,0.872692
0.07317121981748585,0.040219000000000005,0.207797,0.671,67.204,68.03,3.431,-0.0086572483198962,0.000182552968575049,0.0126185773268759,0.871978,0.815937,0.873065
0.0853661199004468,0.04692199999999999,0.2145,0.578,74.066,75.928,9.314,-0.0103686945896539,-0.00200863156398868,0.0147175802200648,0.872547,0.81764,0.871575
0.09756101998340781,0.053625000000000006,0.221203,0.599,79.111,80.383,15.196,-0.0107337495793578,-0.0047993976415405,0.0168704696044504,0.87295,0.820244,0.871685
0.10975592006636876,0.06032799999999999,0.227906,0.553,80.726,82.61,17.647,-0.00868955894979517,-0.00869985438033355,0.0190537742092929,0.87376,0.82097,0.870496
0.12195082014932977,0.06703100000000001,0.234609,0.588,82.744,83.623,16.176,-0.00647581736471892,-0.0119670654051999,0.0204827288959345,0.876014,0.822392,0.869152
0.1341457202322907,0.073734,0.241312,0.581,83.349,84.635,13.725,-0.00350142868656157,-0.0160988847201001,0.0201442439220711,0.875794,0.825867,0.86985
0.14634243963497165,0.08043799999999998,0.248016,0.556,85.973,85.648,11.274,-9.28647465845232e-05,-0.0211522654645473,0.0196435661764418,0.874992,0.827417,0.868877
0.1585373397179326,0.08714099999999997,0.254719,0.571,87.184,86.66,10.784,0.00354405413044458,-0.0259174893599937,0.0195278799378402,0.873561,0.828459,0.869406
0.1707322398008936,0.09384399999999998,0.261422,0.542,88.395,87.268,11.274,0.00788053510603982,-0.0309840476124867,0.019600591548879,0.873327,0.829977,0.867508
0.18292713988385462,0.100547,0.268125,0.542,89.404,87.875,11.274,0.0115004139068957,-0.0350725091189238,0.0201254177586928,0.870246,0.832607,0.867778
0.19512203996681562,0.10725000000000001,0.274828,0.524,89.606,88.078,10.784,0.0173620953513498,-0.040445500230794,0.0205756815435745,0.87102,0.834128,0.867586
0.20731694004977652,0.11395299999999997,0.281531,0.488,89.606,87.875,10.294,0.0241291027755064,-0.0454856157976624,0.0198225703496259,0.870136,0.835246,0.867195
