cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [ml/s],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.703828,-0.379,54.158,14.649,31.527,0.0,0.0,0.0,0.686039,0.818857,0.978119
0.009090736481208278,0.0067030000000000145,0.710531,-0.954,53.945,16.56,30.542,0.000833214643632028,-0.00170589249969387,-0.00112112359831114,0.68633,0.821511,0.981425
0.018181472962416557,0.013406000000000029,0.717234,0.513,53.519,18.683,29.064,0.00228875381796637,-0.00422919819547655,-0.00289057696409423,0.685243,0.82242,0.98043
0.027273565662702927,0.02010999999999996,0.723938,0.71,53.519,21.443,27.094,0.00515337191567732,-0.00686782265552351,-0.00555084938683762,0.684307,0.823543,0.980083
0.036364302143911204,0.026812999999999976,0.730641,0.663,53.092,24.416,25.123,0.00737614765544543,-0.00949325504411885,-0.00677294067803181,0.684729,0.821155,0.975727
0.04545503862511949,0.03351599999999999,0.737344,0.678,53.306,29.511,22.66,0.00774549826983675,-0.0105236616194104,-0.0075032146509086,0.685184,0.817699,0.966468
0.054545775106327764,0.040219000000000005,0.744047,0.681,54.158,35.456,20.69,0.00858993786161655,-0.0115218385711704,-0.00783815958456544,0.681638,0.81464,0.962259
0.06363651158753604,0.04692200000000002,0.75075,0.699,54.372,41.613,18.227,0.00896769324693189,-0.0112650301664535,-0.00803215831522087,0.678872,0.811849,0.959485
0.07272724806874432,0.053625000000000034,0.757453,0.681,54.372,47.558,13.793,0.00727273370204736,-0.0107357236456981,-0.00864618386803575,0.678915,0.811922,0.956551
0.08181798454995244,0.06032799999999994,0.764156,0.696,56.077,53.078,8.867,0.00647548372191556,-0.00963023998574686,-0.010062613798453,0.678783,0.812485,0.95629
0.09090872103116072,0.06703099999999995,0.770859,0.678,59.062,58.174,2.956,0.00670196431497959,-0.0101469497598923,-0.0125940233001346,0.678422,0.813912,0.956934
0.09999945751236901,0.07373399999999997,0.777562,0.667,62.048,62.42,3.449,0.00723752131428297,-0.0115285542037245,-0.0152602684313466,0.676576,0.813307,0.954789
0.10909155021265553,0.08043800000000001,0.784266,0.678,64.606,65.392,8.375,0.00857903630426199,-0.0130268679014743,-0.0182870911361214,0.676365,0.812591,0.952781
0.1181822866938638,0.08714100000000002,0.790969,0.649,67.378,68.153,14.779,0.00967680011695163,-0.0155515562185266,-0.0206664899594354,0.673765,0.809603,0.948491
0.12727302317507208,0.09384400000000004,0.797672,0.663,69.297,70.063,20.69,0.0115589821135943,-0.0183559566379874,-0.0233584848695724,0.671311,0.809635,0.94576
0.1363637596562802,0.10054699999999994,0.804375,0.653,71.003,71.55,25.123,0.0129645361263079,-0.0214726415518883,-0.025821301390607,0.668503,0.808265,0.944178
0.14545449613748848,0.10724999999999996,0.811078,0.642,71.856,72.399,27.587,0.0144300735033525,-0.02491806544754,-0.0279115735298363,0.666512,0.80761,0.94139
0.15454523261869677,0.11395299999999997,0.817781,0.649,72.495,72.823,29.064,0.0170095452509645,-0.0296224876395813,-0.0296587605559271,0.663928,0.805053,0.938719
0.16363596909990505,0.12065599999999999,0.824484,0.628,73.135,73.248,29.064,0.0206995066656444,-0.0349034178174266,-0.032148258270462,0.662658,0.805121,0.93661
0.17272670558111333,0.127359,0.831187,0.642,73.561,73.673,29.064,0.0245031480783258,-0.0394946326168923,-0.0348648892669071,0.661,0.804272,0.934628
0.18181879828139985,0.13406300000000004,0.837891,0.631,73.988,73.885,28.572,0.0273121627246653,-0.0430646969194511,-0.0374172323647272,0.658604,0.803148,0.933158
0.19090953476260797,0.14076599999999995,0.844594,0.624,74.201,73.885,28.079,0.0303534004266971,-0.0468513523741231,-0.0397801210172284,0.657655,0.803219,0.930412
0.20000027124381625,0.14746899999999996,0.851297,0.635,74.414,73.885,27.587,0.032820070288577,-0.0502811217579826,-0.0417551695789585,0.655658,0.802614,0.928203
0.20909100772502454,0.15417199999999998,0.858,0.617,74.841,74.31,27.587,0.0355854893914845,-0.0532232378015937,-0.0435924902425799,0.65418,0.801344,0.926423
0.21818174420623282,0.160875,0.864703,0.646,75.054,74.31,27.587,0.0377289528724792,-0.0567440939634719,-0.0454328655075914,0.652252,0.800417,0.924043
0.22727248068744108,0.167578,0.871406,0.631,75.694,74.734,27.587,0.0396920266547776,-0.0602076832615643,-0.0469728725201001,0.650849,0.799932,0.922859
