cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.395484,10.318,0.335,14.215,57.719,-0.00681811993432497,0.00785828430303241,0.00249120631646139,0.914248,0.916587,1.075444
0.010752481187569303,0.0067030000000000145,0.402187,10.52,0.585,13.725,57.315,-0.0149977216659549,0.0174623283945124,0.00338784492951593,0.915844,0.916713,1.07498
0.02150656650480999,0.013407000000000002,0.408891,11.533,1.153,13.235,57.113,-0.023233483444202,0.0234263243425104,0.00378113636434451,0.914965,0.915428,1.073334
0.03225904769237929,0.020110000000000017,0.415594,12.95,1.331,12.745,57.113,-0.0286182625287502,0.0275514920299158,0.00301209867344806,0.915551,0.911712,1.069943
0.0430115288799485,0.026812999999999976,0.422297,14.773,0.381,12.255,56.71,-0.0367512402527317,0.0287382125345729,-0.000701983063033239,0.913969,0.907936,1.064358
0.05376401006751781,0.03351599999999999,0.429,17.405,0.492,12.255,56.508,-0.0422866221097407,0.0280585430329372,-0.00291648193824762,0.913138,0.902367,1.056566
0.06451649125508711,0.040219000000000005,0.435703,22.265,0.635,11.764,56.306,-0.0480886057981432,0.022704975495138,-0.00424232430328132,0.909276,0.895376,1.05009
0.07526897244265641,0.04692200000000002,0.442406,26.113,0.635,11.274,56.306,-0.0515149823559218,0.0116464587858038,-0.00706274491344179,0.908019,0.892054,1.047942
0.08602145363022563,0.05362499999999998,0.449109,29.555,0.617,10.784,56.306,-0.0526889863052507,0.00400884057260965,-0.00982385394343014,0.907388,0.888467,1.044838
0.09677393481779493,0.06032799999999999,0.455812,34.213,0.613,9.804,55.7,-0.0464348554987268,-0.00615235322903287,-0.0116710312323884,0.907458,0.888339,1.041052
0.10752802013503562,0.06703199999999998,0.462516,38.465,0.613,8.823,55.297,-0.0382914600324659,-0.0181906677893757,-0.0147272490049779,0.90698,0.884452,1.039553
0.11828050132260493,0.073735,0.469219,42.92,0.617,7.353,55.297,-0.0291434141468313,-0.0322654068718211,-0.0205181571475504,0.907164,0.882996,1.037151
0.12903298251017423,0.08043800000000001,0.475922,46.97,0.617,5.882,55.297,-0.0170780929283525,-0.0477397073339327,-0.0281840454640768,0.906227,0.881009,1.03398
0.13978546369774353,0.08714100000000002,0.482625,50.818,0.617,3.921,56.104,-0.00669742978726671,-0.0621694615129176,-0.0352318612391928,0.904293,0.879386,1.032227
0.15053794488531275,0.09384399999999998,0.489328,54.058,0.628,1.961,57.719,0.00615657709269204,-0.0729602742465549,-0.0428255880886908,0.903095,0.878417,1.029403
0.16129042607288205,0.100547,0.496031,56.69,0.617,-0.49,59.737,0.0210320675974785,-0.0885124760497364,-0.0498741783704977,0.898961,0.876136,1.026631
0.17204290726045135,0.10725000000000001,0.502734,58.918,0.628,-1.961,62.159,0.0340566621268311,-0.0996473847948741,-0.0566006225978802,0.896934,0.873953,1.024239
