cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.288234,8.476,-0.765,28.714,16.94,0.0,0.0,0.0,1.027794,0.932713,1.347451
0.014084240694903818,0.0067030000000000145,0.294937,9.686,-0.012,28.219,25.715,-0.00630990106114193,0.00569365674235495,0.000429586444729721,1.027835,0.93225,1.35076
0.028170582574455486,0.013407000000000002,0.301641,22.401,0.638,27.724,38.572,-0.0101652436087687,0.00967890174531951,0.000383838633839881,1.022931,0.928398,1.357434
0.0422548232693593,0.020110000000000017,0.308344,9.081,0.696,26.734,60.409,-0.0104136120345102,0.0132500891608065,-0.00112906146055947,1.015404,0.921719,1.319829
0.05633906396426312,0.02681300000000003,0.315047,25.63,0.688,25.744,82.042,-0.00755246178458177,0.015531258905917,-0.0025350613471863,1.008281,0.920927,1.318074
0.07042330465916682,0.03351599999999999,0.32175,27.244,0.671,24.754,91.429,-0.00270643802690718,0.0137504211813815,-0.00175011951081651,1.007794,0.922614,1.342803
0.08450754535407064,0.040219000000000005,0.328453,28.254,0.71,23.763,96.94,0.00261564890431194,0.00936657101104638,-0.00145332446272382,1.005853,0.910409,1.319199
0.09859178604897446,0.04692200000000002,0.335156,36.528,0.728,22.773,98.572,0.00881419161051256,0.0037244968313708,-0.00282521482820993,0.997718,0.91308,1.325026
0.11267602674387828,0.053625000000000034,0.341859,31.483,0.717,23.763,98.368,0.0147720796712093,-0.00593232732117169,-0.00240542809049124,0.998891,0.913591,1.324094
0.126760267438782,0.06032799999999999,0.348562,21.594,0.735,25.249,99.593,0.0234472369771001,-0.0154402883651273,-0.00340493902031203,0.993903,0.912715,1.319137
0.14084660931833376,0.06703200000000004,0.355266,22.199,0.699,27.724,100.613,0.0323455505338464,-0.0249705958666774,-0.00848565710811663,0.98716,0.910621,1.292731
0.15493085001323748,0.073735,0.361969,19.575,0.721,30.199,101.225,0.0425912166036082,-0.0363184462209451,-0.014239447737065,0.982222,0.909061,1.289403
0.16901509070814127,0.08043800000000001,0.368672,19.374,0.713,33.169,101.838,0.0528524310792861,-0.0480896441306753,-0.0212796035111247,0.974248,0.909608,1.28888
0.1830993314030451,0.08714100000000002,0.375375,18.97,0.703,35.645,102.042,0.0638493595574137,-0.0632959730707957,-0.0268780579353037,0.965693,0.906837,1.286649
0.19718357209794882,0.09384399999999998,0.382078,16.548,0.746,37.13,102.654,0.0705426921001004,-0.0743690429462516,-0.0341311521462307,0.958366,0.905182,1.281373
0.21126781279285262,0.100547,0.388781,15.539,0.717,39.11,102.858,0.0782365628909339,-0.0854781971151039,-0.0419956507185087,0.949517,0.90325,1.277273
0.22535205348775644,0.10725000000000001,0.395484,14.732,0.728,40.595,103.47,0.0878808326312247,-0.0985920513681379,-0.0484900214471545,0.94089,0.901346,1.273474
0.23943629418266027,0.11395300000000003,0.402187,13.117,0.746,41.585,104.083,0.0974544812322844,-0.108460126185519,-0.0548628125433079,0.934444,0.900063,1.268948
0.2535226360622119,0.12065700000000001,0.408891,11.099,0.738,42.08,105.307,0.107357789323498,-0.116595544452908,-0.05981803582383,0.927245,0.898341,1.266441
0.26760687675711575,0.12736000000000003,0.415594,9.081,0.767,42.575,106.736,0.115441658655382,-0.123962581533035,-0.0661378715748892,0.919577,0.896151,1.26388
0.28169111745201947,0.134063,0.422297,8.072,0.742,43.07,108.572,0.123175248101528,-0.129882777703864,-0.0696994852714553,0.914603,0.893757,1.259138
0.29577535814692324,0.140766,0.429,7.063,0.771,43.07,110.409,0.132097260268397,-0.135248915536963,-0.0704312743538169,0.906489,0.891326,1.25473
0.30985959884182707,0.14746900000000002,0.435703,6.256,0.778,43.07,112.45,0.139055351403212,-0.140671257731911,-0.0719723176804863,0.901189,0.88979,1.251183
0.3239438395367309,0.15417200000000003,0.442406,5.448,0.763,42.575,114.899,0.144424131110372,-0.14551000421882,-0.0741757755760684,0.895259,0.887279,1.247474
0.3380280802316346,0.160875,0.449109,4.641,0.774,42.08,117.144,0.151773941546453,-0.149589674647508,-0.0752149763925077,0.889785,0.88561,1.244595
0.35211232092653844,0.167578,0.455812,3.632,0.749,41.09,120.001,0.159697751713439,-0.153741586292616,-0.0764030669762378,0.885598,0.884301,1.240492
0.3661986628060901,0.174282,0.462516,3.228,0.774,40.1,122.858,0.168359179355829,-0.156910359085296,-0.0776956116425792,0.882157,0.882515,1.23888
0.3802829035009939,0.180985,0.469219,2.219,0.76,39.11,126.327,0.176665119684759,-0.159499130342815,-0.078444506079018,0.880571,0.880728,1.237017
0.39436714419589775,0.18768800000000002,0.475922,1.816,0.753,38.12,129.797,0.184170756855803,-0.162521469847074,-0.0792386155411385,0.876867,0.879235,1.234381
0.40845138489080157,0.19439100000000004,0.482625,1.008,0.749,37.13,133.674,0.190657961881294,-0.16483222444084,-0.0800685291390805,0.874914,0.877872,1.233574
0.42253562558570523,0.201094,0.489328,-0.203,0.742,35.645,136.736,0.195366431907656,-0.166643291976274,-0.0813379893801106,0.872476,0.875733,1.231974
0.43661986628060906,0.207797,0.496031,-1.01,0.731,34.655,139.185,0.199906596039952,-0.167694303559617,-0.0823626408103052,0.870377,0.874764,1.230929
0.4507041069755129,0.21450000000000002,0.502734,0.201,0.681,33.664,140.205,0.204713639630384,-0.167244667746612,-0.0831598879404631,0.86917,0.87346,1.229023
0.46479044885506443,0.22120399999999996,0.509438,-0.606,0.628,32.674,140.205,0.208888214574104,-0.167039386777452,-0.0840674430580238,0.868538,0.872722,1.228768
0.47887468954996826,0.22790699999999997,0.516141,-1.817,0.599,32.179,138.368,0.212321232417496,-0.166414566992764,-0.085924447093083,0.867259,0.872538,1.226509
0.4929589302448721,0.23460999999999999,0.522844,-1.01,0.571,31.189,133.062,0.214081698857066,-0.165473790280304,-0.0882491889894533,0.867271,0.871405,1.225753
0.5070431709397759,0.241313,0.529547,-1.615,0.606,30.199,123.674,0.214245709113232,-0.163701384169887,-0.0906924165726568,0.865882,0.871196,1.224114
0.5211274116346797,0.24801600000000001,0.53625,-2.221,0.617,29.704,109.185,0.212501487294327,-0.161293731030638,-0.0922283828860398,0.86545,0.870958,1.221513
0.5352116523295836,0.25471900000000003,0.542953,-3.028,0.603,29.209,90.817,0.208916490398519,-0.159116533980218,-0.0932042512513077,0.86609,0.870773,1.217302
0.5492958930244873,0.26142200000000004,0.549656,-13.321,0.621,28.714,73.674,0.202751327287376,-0.158135575157964,-0.094174194221375,0.867977,0.871885,1.211535
0.5633801337193912,0.26812500000000006,0.556359,-7.266,0.599,28.219,60.001,0.193401099949538,-0.159929450069581,-0.0942235890950844,0.870109,0.871433,1.206232
0.5774643744142948,0.27482799999999996,0.563062,-3.835,0.617,27.724,48.98,0.180276969269248,-0.160282096964529,-0.09315075587451,0.874752,0.87247,1.20143
0.5915507162938465,0.281532,0.569766,-6.257,0.617,28.219,39.593,0.164782707458219,-0.155653964313463,-0.0920186411385497,0.879597,0.87543,1.202905
0.6056349569887504,0.288235,0.576469,-8.679,0.613,29.209,30.205,0.151511086373364,-0.149855270951911,-0.0907682261965462,0.883704,0.882452,1.205519
0.6197191976836541,0.29493800000000003,0.583172,-9.082,0.621,30.199,23.878,0.144158418239517,-0.147361365235218,-0.0886468520655841,0.886884,0.88511,1.206173
0.633803438378558,0.30164100000000005,0.589875,-9.284,0.613,31.684,18.164,0.138120720571357,-0.146421077304594,-0.0869083677638709,0.88774,0.883719,1.206263
0.6478876790734618,0.30834400000000006,0.596578,-9.89,0.653,32.674,13.47,0.135774556259578,-0.146312503696712,-0.0857352182884996,0.888048,0.88244,1.206924
0.6619719197683654,0.31504699999999997,0.603281,-10.495,0.642,34.159,9.389,0.137000096218221,-0.145771900011431,-0.0845850693005989,0.888995,0.88207,1.206845
0.6760561604632692,0.32175,0.609984,-10.092,0.638,34.655,6.327,0.137830989776412,-0.146572439681112,-0.083565884308403,0.887503,0.882186,1.208793
0.690140401158173,0.328453,0.616687,-8.679,0.631,35.15,4.082,0.138696202480326,-0.148411666529168,-0.0831626263477285,0.8873,0.882914,1.210501
0.7042267430377248,0.33515700000000004,0.623391,-7.064,0.599,35.645,2.654,0.140054743909433,-0.151484696224298,-0.083168723214817,0.886617,0.883158,1.212936
0.7183109837326286,0.34186000000000005,0.630094,-6.459,0.649,36.635,2.042,0.142704153878593,-0.154743636191083,-0.0834958830571833,0.885879,0.882759,1.216528
0.7323952244275322,0.34856299999999996,0.636797,-5.652,0.592,36.635,2.042,0.145390768750687,-0.15782391562546,-0.0848558802638872,0.882092,0.879884,1.220876
0.746479465122436,0.35526599999999997,0.6435,-4.441,0.485,37.13,2.45,0.150422590705589,-0.160610265155046,-0.0851695096075862,0.881104,0.877966,1.227617
0.7605637058173399,0.361969,0.650203,-1.817,0.417,37.625,2.246,0.153217114418884,-0.162936597709422,-0.084228859325598,0.881644,0.87873,1.256802
