cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13
0.2196263003432398,0.11651900000000004,0.376827,71.215,0.61,20.69,73.036,0.0330551668830175,-0.0458407971699226,-0.044978060833169,1.089283,1.095254,0.890169,
0.2242989597254082,0.11899799999999999,0.379306,69.51,0.599,21.183,72.399,0.0353807500915601,-0.0481517827465396,-0.0458809963374535,1.086395,1.095537,0.88969,
0.2289716191075767,0.121477,0.381785,69.51,0.596,21.183,72.399,0.0386471881940766,-0.0504539955646749,-0.046949056224791,1.08483,1.093097,0.888489,
0.23364427848974523,0.12395600000000001,0.384264,68.23,0.578,21.675,71.762,0.0417818917084092,-0.0528982788612651,-0.0483552060757395,1.083218,1.091426,0.88751,
0.2383188227688004,0.126436,0.386744,68.657,0.574,21.675,71.974,0.0438095149647644,-0.055376045580594,-0.0496978840760079,1.080108,1.091801,0.886269,
0.2429914821509689,0.128915,0.389223,68.657,0.588,21.675,72.399,0.0458938414053259,-0.0579045045804387,-0.0511480835708844,1.077121,1.092098,0.885909,
0.24766414153313743,0.131394,0.391702,68.657,0.603,21.675,72.399,0.0483838395021726,-0.0604413819153291,-0.0525694479734865,1.074078,1.092666,0.885316,
0.25233680091530597,0.13387300000000002,0.394181,68.443,0.61,21.675,72.611,0.0506750177645152,-0.0625771361779168,-0.0540576863549193,1.070633,1.093069,0.886002,
0.25700946029747446,0.13635200000000003,0.39666,67.591,0.603,21.675,72.186,0.0527822344520823,-0.0644645179597869,-0.0554935363223915,1.068364,1.092997,0.885679,
0.261682119679643,0.13883100000000004,0.399139,67.377,0.592,21.675,72.186,0.0540862707235865,-0.0666129644408939,-0.0567998515526599,1.065279,1.092398,0.885284,
0.2663547790618114,0.14131,0.401618,65.032,0.581,21.675,71.337,0.0548593598438002,-0.0687262608191226,-0.0581243214361586,1.064859,1.092862,0.883927,
0.2710274384439799,0.143789,0.404097,66.525,0.578,21.675,71.974,0.055535000762137,-0.0705780266386006,-0.0593144059207112,1.063546,1.091702,0.882941,
0.2757019827230352,0.14626900000000004,0.406577,66.525,0.596,21.183,72.186,0.0569939162843786,-0.0728813028888361,-0.0601033512966118,1.060733,1.090623,0.882126,
0.2803746421052036,0.148748,0.409056,66.525,0.606,21.183,72.611,0.0579934169310224,-0.0751210171779765,-0.0612713956814286,1.058123,1.090857,0.881565,
0.2850473014873721,0.151227,0.411535,66.098,0.617,20.69,72.399,0.0588588430411943,-0.0773597802976165,-0.0622678626131308,1.055884,1.090871,0.881634,
0.2897199608695406,0.153706,0.414014,65.672,0.596,20.69,71.974,0.0599115883997424,-0.0797433597669926,-0.0633964214378024,1.055447,1.091475,0.882091,
0.29439262025170915,0.15618500000000002,0.416493,65.458,0.588,20.69,71.762,0.0607144837460878,-0.082173274577685,-0.064439954299011,1.052995,1.091819,0.881634,
