cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.475922,0.617,54.798,12.951,26.601,0.0,0.0,0.0,0.697628,0.831058,1.006864
0.008695494247326711,0.0067030000000000145,0.482625,-0.872,54.585,14.437,26.109,-0.000129874367412892,-0.000445567931090953,-0.00162468138892789,0.697027,0.832316,1.00775
0.01739098849465335,0.013405999999999973,0.489328,-0.644,54.372,16.56,26.109,0.00113207483292176,-0.00183690424306204,-0.00376487289443584,0.696448,0.832444,1.008708
0.026086482741979986,0.020108999999999932,0.496031,0.717,54.372,19.32,25.616,0.0033006647972079,-0.00405405561159826,-0.00681135017584237,0.695687,0.833587,1.009837
0.0347819769893067,0.026811999999999947,0.502734,0.681,54.158,22.293,24.631,0.00617571698694865,-0.00583364716072211,-0.00977669263796987,0.696398,0.831548,1.005724
0.04347876849073554,0.03351599999999988,0.509438,0.703,53.732,25.902,24.138,0.0077690883314863,-0.00807402321979928,-0.0113734330625309,0.695113,0.828153,1.000755
0.052174262738062256,0.040218999999999894,0.516141,0.713,54.372,31.847,22.66,0.00847843410675649,-0.00963943038961669,-0.0125571998551413,0.69634,0.822701,0.99044
0.06086975698538896,0.04692199999999991,0.522844,0.735,55.225,38.641,22.66,0.00869460526176049,-0.0103130122778692,-0.0131338751427498,0.692176,0.820835,0.98852
0.06956525123271567,0.05362499999999992,0.529547,0.735,55.225,45.435,21.183,0.00877541491122958,-0.0098502871645015,-0.013667565363054,0.691252,0.819727,0.985055
0.07826074548004239,0.06032799999999994,0.53625,0.731,56.077,51.592,19.212,0.00718573372899178,-0.00960863638652057,-0.0136785988407931,0.691813,0.82003,0.981995
0.0869562397273691,0.06703099999999995,0.542953,0.742,58.636,57.112,16.749,0.00674996244581169,-0.00928466022709378,-0.0144769457473102,0.69129,0.82019,0.980783
0.0956517339746958,0.07373399999999997,0.549656,0.717,62.048,62.208,14.779,0.00665051165626586,-0.0105052037070152,-0.0166156566189408,0.69111,0.821551,0.979634
0.10434722822202251,0.08043699999999998,0.556359,0.728,65.459,66.242,15.764,0.00706378553551586,-0.0122743445807402,-0.0187347754114797,0.688499,0.820949,0.975966
0.11304272246934909,0.08713999999999988,0.563062,0.717,68.657,69.426,17.734,0.00744860749542411,-0.0145371447328453,-0.021318226594333,0.685622,0.819749,0.972553
0.12173951397077808,0.09384399999999993,0.569766,0.703,70.79,71.762,19.705,0.00898964145169023,-0.0175826045731809,-0.0243981437212559,0.684019,0.818318,0.970334
0.13043500821810478,0.10054699999999994,0.576469,0.703,72.282,73.036,20.69,0.0115775605904907,-0.0209990120714028,-0.02701397858975,0.681696,0.816314,0.967643
0.1391305024654315,0.10724999999999996,0.583172,0.688,73.561,74.31,22.168,0.0141912521812519,-0.0244598399467726,-0.0294998254519733,0.678916,0.814956,0.964626
0.1478259967127582,0.11395299999999997,0.589875,0.696,74.414,74.947,22.66,0.0171681574866157,-0.0287611899305807,-0.0312587275916424,0.67774,0.814426,0.96244
