cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.489328,27.506,1.12,13.793,45.647,3.3094323207424057,1.6595288300734385,0.000728723118120639,-0.000835858707147638,-0.0029497733003739,0.982726,0.91578,0.859959
0.008620523353091675,0.0067030000000000145,0.496031,27.293,0.567,12.808,45.859,3.580496564647096,1.680247682555967,0.00150288929878733,-0.0019475706563057,-0.00689420343051307,0.984349,0.916899,0.858278
0.01724104670618335,0.013406000000000029,0.502734,28.785,0.624,11.823,44.798,3.789055231328766,1.556296682299809,0.00263233705252038,-0.00299067719407087,-0.0104740533042433,0.983346,0.915969,0.856617
0.02586285612869952,0.02010999999999996,0.509438,31.77,0.631,9.853,45.647,4.632802192225718,1.4367957192319798,0.00319734402146382,-0.00382002819100731,-0.0137985923399595,0.979714,0.911862,0.856087
0.03448337948179119,0.026812999999999976,0.516141,37.954,0.624,7.882,44.161,5.60276579548338,1.1635400748274227,0.00354218196503095,-0.00405759449091257,-0.0169759217806584,0.977327,0.910054,0.856148
0.04310390283488287,0.03351599999999999,0.522844,39.659,0.617,6.897,45.01,6.5260258083224585,1.1349252376509746,0.00357517669105127,-0.00379393794421983,-0.0199577359926282,0.975732,0.911701,0.852239
0.05172442618797454,0.040219000000000005,0.529547,42.005,0.621,5.912,45.435,7.68521650879567,1.081656945601714,0.00367902462520939,-0.00343253647032912,-0.0225461320606718,0.975112,0.911785,0.851304
0.06034494954106622,0.04692200000000002,0.53625,45.843,0.621,3.941,44.586,11.313372240548084,0.9725803285125318,0.00337989264312834,-0.00306945140588826,-0.0254726965833805,0.972765,0.911615,0.85032
0.0689654728941579,0.053625000000000034,0.542953,49.894,0.624,0.986,46.072,46.72616632860041,0.9233976029181866,0.00347166031097119,-0.00287520789737261,-0.0285769980966056,0.970647,0.911732,0.848464
0.07758599624724957,0.06032800000000005,0.549656,55.651,0.628,-1.478,46.072,-31.171853856562926,0.8278737129611328,0.00361038984856165,-0.00320571868544279,-0.0311820417844542,0.969551,0.911864,0.847058
0.08620651960034124,0.06703100000000006,0.556359,56.077,0.624,-1.478,48.62,-32.895805142083894,0.8670221302851436,0.00414165548078291,-0.003984128364552,-0.0333859881302146,0.967195,0.911817,0.846258
0.09482704295343278,0.07373399999999997,0.563062,57.783,0.635,0.0,51.592,0.0,0.8928577609331464,0.00523715603756744,-0.00518544018703907,-0.0351263537549069,0.963824,0.910587,0.845285
0.10344885237594909,0.08043800000000001,0.569766,60.342,0.635,3.449,53.29,15.45085532038272,0.8831328096516523,0.00699464527226576,-0.00686804126983984,-0.0366271504824754,0.960845,0.90859,0.844076
0.11206937572904076,0.08714100000000002,0.576469,62.9,0.635,5.912,56.688,9.588633288227335,0.9012400635930048,0.00871640648196114,-0.00895993029948434,-0.0379792931400624,0.957285,0.907653,0.84352
