% Card Cycle,t(s) abs,t (s),ECG (mV),AoP (mmHg),LVP (mmHg),LAD Flow (mL/s),AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,"tissue vol ischemic (,;)",tissue vol border (ml),tissue vol remote (ml)
0.40,0.295,0.999,0.692,72.282,68.365,25.123,2.9,1.1,0.080969528,-0.111837615,-0.07231138,0.630764,0.794176,0.902055
0.41,0.302,1.005,0.674,71.003,66.666,24.138,2.9,1.1,0.0829903,-0.111703455,-0.073444139,0.630352,0.794013,0.901638
0.42,0.308,1.012,0.678,69.297,64.119,23.153,3.0,1.1,0.084863926,-0.110341577,-0.075235857,0.629806,0.793719,0.900466
0.43,0.315,1.019,0.692,66.952,61.358,22.168,3.0,1.1,0.087564219,-0.110057346,-0.077977592,0.630925,0.79375,0.899145
0.44,0.322,1.026,0.671,65.033,58.174,20.197,3.2,1.1,0.089599411,-0.109285856,-0.080741275,0.632043,0.793894,0.899465
0.45,0.328,1.032,0.692,64.18,53.715,18.227,3.5,1.2,0.092284032,-0.107949946,-0.083478138,0.634471,0.794744,0.898737
0.45,0.335,1.039,0.678,70.576,47.346,17.242,4.1,1.5,0.093471169,-0.106415351,-0.08521136,0.635048,0.794494,0.898817
0.46,0.342,1.046,0.681,71.216,42.675,29.557,2.4,1.7,0.095776279,-0.104793511,-0.086791506,0.63524,0.795443,0.899352
0.47,0.349,1.052,0.685,70.15,38.429,40.887,1.7,1.8,0.099011432,-0.103600513,-0.086878245,0.636853,0.794299,0.899443
0.48,0.355,1.059,0.663,69.937,35.032,47.291,1.5,2.0,0.100902993,-0.103097727,-0.08591026,0.637826,0.79369,0.89984
0.49,0.362,1.066,0.688,69.723,31.635,50.247,1.4,2.2,0.101366262,-0.102800203,-0.083887583,0.639081,0.793761,0.90088
0.50,0.369,1.073,0.671,70.15,28.237,51.232,1.4,2.5,0.102519879,-0.103305041,-0.082354053,0.639848,0.793401,0.903171
0.51,0.375,1.079,0.681,70.15,25.265,53.202,1.3,2.8,0.102845324,-0.103108941,-0.080291025,0.640529,0.793724,0.904012
0.52,0.382,1.086,0.681,69.937,22.505,55.173,1.3,3.1,0.101935648,-0.10161719,-0.077934199,0.641394,0.794638,0.905925
0.53,0.389,1.093,0.663,69.51,20.17,56.158,1.2,3.4,0.100249724,-0.100371864,-0.075278108,0.64191,0.795223,0.908468
0.54,0.395,1.099,0.681,69.084,17.622,56.651,1.2,3.9,0.097843999,-0.09668065,-0.073649088,0.643033,0.797123,0.910546
0.55,0.402,1.106,0.667,68.871,15.499,56.651,1.2,4.4,0.094195379,-0.092246539,-0.071865117,0.643368,0.79814,0.913502
0.55,0.409,1.113,0.674,68.444,13.588,56.651,1.2,5.0,0.092124946,-0.089453502,-0.06956794,0.645035,0.799872,0.916991
0.56,0.416,1.119,0.674,68.444,11.889,57.636,1.2,5.8,0.088987349,-0.086823299,-0.066938394,0.647152,0.801493,0.920751
0.57,0.422,1.126,0.656,68.444,10.828,57.636,1.2,6.3,0.084016998,-0.08350084,-0.064490359,0.648659,0.802319,0.923914
0.58,0.429,1.133,0.681,68.018,9.554,57.636,1.2,7.1,0.078710884,-0.079853731,-0.061306355,0.650754,0.804843,0.927937
0.59,0.436,1.140,0.656,68.018,8.917,58.128,1.2,7.6,0.074589687,-0.076060966,-0.058236279,0.652677,0.807456,0.933185
0.60,0.442,1.146,0.667,67.591,8.28,58.128,1.2,8.2,0.068663743,-0.07114212,-0.054044926,0.654081,0.810483,0.939805
0.61,0.449,1.153,0.674,67.591,7.855,58.128,1.2,8.6,0.0616797,-0.066666703,-0.049439368,0.65623,0.81217,0.946078
0.62,0.456,1.160,0.66,67.378,7.855,57.636,1.2,8.6,0.055820416,-0.061526811,-0.0447972,0.659272,0.815519,0.954275
0.63,0.463,1.166,0.678,66.952,7.431,57.143,1.2,9.0,0.049294076,-0.055965287,-0.039240629,0.662964,0.819065,0.961443
0.64,0.469,1.173,0.66,66.738,7.643,56.651,1.2,8.7,0.042061994,-0.050307773,-0.034053239,0.66645,0.819242,0.965572
0.65,0.476,1.180,0.671,66.312,7.431,55.665,1.2,8.9,0.035190164,-0.041819962,-0.028499907,0.668675,0.818989,0.967612
0.65,0.483,1.186,0.667,66.312,7.643,54.68,1.2,8.7,0.028432904,-0.033393544,-0.024876339,0.672437,0.817943,0.968339
0.66,0.489,1.193,0.66,66.099,8.068,54.68,1.2,8.2,0.026199612,-0.029886362,-0.020022127,0.674386,0.815883,0.968042
0.67,0.496,1.200,0.678,65.672,8.068,53.695,1.2,8.1,0.023572734,-0.026010206,-0.016632548,0.676705,0.815602,0.969012
0.68,0.503,1.207,0.656,65.459,8.492,53.695,1.2,7.7,0.02073281,-0.022817027,-0.014365859,0.678724,0.817542,0.970755
0.69,0.509,1.213,0.663,65.033,8.705,52.217,1.2,7.5,0.018811479,-0.020434139,-0.012878485,0.680814,0.819008,0.971148
0.70,0.516,1.220,0.667,64.819,8.917,51.724,1.3,7.3,0.01740116,-0.017922304,-0.012899243,0.683423,0.821927,0.973538
0.71,0.523,1.227,0.656,64.393,9.342,50.739,1.3,6.9,0.016672791,-0.016634777,-0.013631311,0.685272,0.823138,0.975967
0.72,0.530,1.233,0.674,63.753,9.129,50.247,1.3,7.0,0.016524057,-0.016402975,-0.014008786,0.684655,0.823081,0.97705
0.73,0.536,1.240,0.656,63.54,9.342,49.754,1.3,6.8,0.016417067,-0.01569026,-0.014405383,0.685444,0.824035,0.977073
0.74,0.543,1.247,0.663,62.9,9.554,49.261,1.3,6.6,0.016668651,-0.015756256,-0.01487208,0.685698,0.823247,0.977334
0.75,0.550,1.253,0.667,62.687,9.554,47.784,1.3,6.6,0.017033809,-0.015855159,-0.014894596,0.685415,0.822855,0.976761
0.75,0.556,1.260,0.653,62.261,9.766,47.291,1.3,6.4,0.017417961,-0.016266788,-0.014940758,0.685855,0.823667,0.976833
0.76,0.563,1.267,0.674,61.408,9.342,46.306,1.3,6.6,0.017423795,-0.017115747,-0.014504558,0.685334,0.822834,0.976599
0.77,0.570,1.274,0.656,61.195,9.554,45.813,1.3,6.4,0.017091329,-0.017549307,-0.014103973,0.684538,0.822657,0.976718
0.78,0.576,1.280,0.663,60.768,9.554,44.828,1.4,6.4,0.017715341,-0.018363392,-0.014024959,0.683901,0.822629,0.977657
0.79,0.583,1.287,0.663,60.555,9.554,43.843,1.4,6.3,0.017961335,-0.019481655,-0.013808797,0.683323,0.822058,0.978067
0.80,0.590,1.294,0.653,60.129,9.554,42.857,1.4,6.3,0.018555975,-0.020799828,-0.01374512,0.683672,0.822512,0.978627
0.81,0.597,1.300,0.671,59.489,9.129,42.365,1.4,6.5,0.019349134,-0.021380271,-0.013924042,0.682394,0.822701,0.978799
0.82,0.603,1.307,0.649,59.276,9.554,42.365,1.4,6.2,0.020501344,-0.022226092,-0.013842899,0.683382,0.823296,0.97873
0.83,0.610,1.314,0.688,58.849,9.554,42.365,1.4,6.2,0.021106995,-0.02400227,-0.013449941,0.682441,0.823378,0.97847
0.84,0.617,1.321,0.674,58.849,9.554,41.872,1.4,6.2,0.021727175,-0.024539085,-0.013315005,0.682943,0.824579,0.978652
0.85,0.623,1.327,0.624,58.423,9.554,40.887,1.4,6.1,0.021989829,-0.024999728,-0.013210077,0.683072,0.824808,0.978446
0.85,0.630,1.334,0.638,57.996,9.342,41.38,1.4,6.2,0.022040755,-0.024924999,-0.0131791,0.68264,0.825099,0.978777
0.86,0.637,1.341,0.61,57.783,9.554,40.394,1.4,6.0,0.021696108,-0.024609278,-0.01328092,0.682896,0.825229,0.978735
0.87,0.644,1.347,0.585,57.57,9.554,40.394,1.4,6.0,0.021089979,-0.023669671,-0.013439971,0.683187,0.824866,0.978781
0.88,0.650,1.354,0.528,57.357,9.766,39.902,1.4,5.9,0.020595181,-0.02264188,-0.013291464,0.68324,0.825623,0.978892
0.89,0.657,1.361,0.563,57.143,9.766,39.902,1.4,5.9,0.019966291,-0.021703154,-0.013107068,0.683501,0.824981,0.979702
0.90,0.664,1.367,0.656,56.717,9.554,39.409,1.4,5.9,0.019292507,-0.020830487,-0.012848638,0.684072,0.825162,0.979835
0.91,0.670,1.374,0.678,56.504,9.978,38.917,1.5,5.7,0.018041912,-0.019805205,-0.012328884,0.684384,0.824737,0.980114
0.92,0.677,1.381,0.703,56.291,10.191,38.424,1.5,5.5,0.016571484,-0.018786261,-0.011382654,0.684622,0.824014,0.980179
0.93,0.684,1.388,0.685,56.291,10.403,37.931,1.5,5.4,0.01445692,-0.01685306,-0.00997722,0.684601,0.823254,0.981005
0.94,0.690,1.394,0.681,55.864,10.615,37.931,1.5,5.3,0.011942726,-0.014554654,-0.008165056,0.684854,0.823592,0.981718
0.95,0.697,1.401,0.688,55.651,10.828,37.439,1.5,5.1,0.009962953,-0.013565453,-0.006137386,0.685444,0.822956,0.980626
0.95,0.704,1.408,0.667,55.651,11.252,36.946,1.5,4.9,0.008136078,-0.011576073,-0.004210394,0.685876,0.822894,0.981843
0.96,0.711,1.414,0.688,55.438,11.465,36.454,1.5,4.8,0.006918087,-0.008862387,-0.001838056,0.685966,0.822123,0.981404
0.97,0.717,1.421,0.756,55.438,11.889,35.961,1.5,4.7,0.005154224,-0.005232791,-8.09E-05,0.687914,0.821789,0.982222
0.98,0.724,1.428,0.996,55.011,12.314,35.468,1.6,4.5,0.003980515,-0.002457096,0.001260521,0.68825,0.822291,0.983069
0.99,0.731,1.434,1.106,54.585,12.314,34.483,1.6,4.4,0.002493328,-0.001044105,0.001603811,0.688623,0.821928,0.98296
1.00,0.737,1.441,0.61,54.585,13.376,33.99,1.6,4.1,0.001305858,-0.000476654,0.00115753,0.687977,0.821028,0.982316
